[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/173 | INFO: Tag[ route_check ] --START--
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/173 | INFO: Run CheckRoute Behavior [ RunTime:0.000614s ]
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/173 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000720s ]
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/173 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/173 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/173 | INFO: Tag[ app_begin ] --START--
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/173 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000444s ]
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/173 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000481s ]
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/173 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/173 | SQL: SHOW COLUMNS FROM think_article as a [ RunTime:0.001488s ]
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/173 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.001906s ]
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/173 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/173 | SQL: SELECT * FROM `think_article` WHERE ( `id` = '173' ) LIMIT 1   [ RunTime:0.001756s ]
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/173 | SQL: SHOW COLUMNS FROM `think_article_type` [ RunTime:0.001675s ]
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/173 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/173 | SQL: SELECT * FROM `think_article_type` WHERE ( `id` = '24' ) LIMIT 1   [ RunTime:0.001500s ]
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/173 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/173 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id!=34 and b.id!=19 ORDER BY a.time desc LIMIT 12   [ RunTime:0.001464s ]
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/173 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
