[ 2017-10-23T00:34:56+08:00 ] /articleType/index/id/20 | INFO: Tag[ route_check ] --START--
[ 2017-10-23T00:34:56+08:00 ] /articleType/index/id/20 | INFO: Run CheckRoute Behavior [ RunTime:0.000446s ]
[ 2017-10-23T00:34:56+08:00 ] /articleType/index/id/20 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000497s ]
[ 2017-10-23T00:34:56+08:00 ] /articleType/index/id/20 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-10-23T00:34:56+08:00 ] /articleType/index/id/20 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-10-23T00:34:56+08:00 ] /articleType/index/id/20 | INFO: Tag[ app_begin ] --START--
[ 2017-10-23T00:34:56+08:00 ] /articleType/index/id/20 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000290s ]
[ 2017-10-23T00:34:56+08:00 ] /articleType/index/id/20 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000316s ]
[ 2017-10-23T00:34:56+08:00 ] /articleType/index/id/20 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-10-23T00:34:56+08:00 ] /articleType/index/id/20 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.030327s ]
[ 2017-10-23T00:34:56+08:00 ] /articleType/index/id/20 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-23T00:34:56+08:00 ] /articleType/index/id/20 | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE ( `type` = '20' ) LIMIT 1   [ RunTime:0.032636s ]
[ 2017-10-23T00:34:56+08:00 ] /articleType/index/id/20 | NOTIC: [8] Use of undefined constant TIFAWEB_DSWJCMS - assumed 'TIFAWEB_DSWJCMS' Page.class.php 第 101 行.
[ 2017-10-23T00:34:56+08:00 ] /articleType/index/id/20 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
