[ 2017-10-02T13:05:20+08:00 ] /index.php/index/suibi | INFO: Tag[ route_check ] --START--
[ 2017-10-02T13:05:20+08:00 ] /index.php/index/suibi | INFO: Run CheckRoute Behavior [ RunTime:0.000619s ]
[ 2017-10-02T13:05:20+08:00 ] /index.php/index/suibi | INFO: Tag[ route_check ] --END-- [ RunTime:0.000723s ]
[ 2017-10-02T13:05:20+08:00 ] /index.php/index/suibi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-10-02T13:05:20+08:00 ] /index.php/index/suibi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-10-02T13:05:20+08:00 ] /index.php/index/suibi | INFO: Tag[ app_begin ] --START--
[ 2017-10-02T13:05:20+08:00 ] /index.php/index/suibi | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000467s ]
[ 2017-10-02T13:05:20+08:00 ] /index.php/index/suibi | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000503s ]
[ 2017-10-02T13:05:20+08:00 ] /index.php/index/suibi | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-10-02T13:05:20+08:00 ] /index.php/index/suibi | SQL: SHOW COLUMNS FROM think_article as a [ RunTime:0.001478s ]
[ 2017-10-02T13:05:20+08:00 ] /index.php/index/suibi | SQL: SHOW COLUMNS FROM `think_article_type` [ RunTime:0.001928s ]
[ 2017-10-02T13:05:20+08:00 ] /index.php/index/suibi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-02T13:05:20+08:00 ] /index.php/index/suibi | SQL: SELECT * FROM `think_article_type` WHERE ( `secondtype` = 2 ) ORDER BY secondsort asc  [ RunTime:0.001573s ]
[ 2017-10-02T13:05:20+08:00 ] /index.php/index/suibi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
