[ 2017-10-03T17:22:29+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | INFO: Tag[ route_check ] --START--
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | INFO: Run CheckRoute Behavior [ RunTime:0.000660s ]
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | INFO: Tag[ route_check ] --END-- [ RunTime:0.000771s ]
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | INFO: Tag[ app_begin ] --START--
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000429s ]
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000465s ]
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.001959s ]
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE ( `type` = '24' ) LIMIT 1   [ RunTime:0.001478s ]
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | NOTIC: [8] Use of undefined constant TIFAWEB_DSWJCMS - assumed 'TIFAWEB_DSWJCMS' Page.class.php 第 101 行.
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | SQL: SELECT * FROM `think_article` WHERE ( `type` = '24' ) ORDER BY time desc LIMIT 60,10   [ RunTime:0.012052s ]
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | SQL: SHOW COLUMNS FROM `think_article_type` [ RunTime:0.001927s ]
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | SQL: SELECT * FROM `think_article_type` WHERE ( `id` = '24' ) LIMIT 1   [ RunTime:0.001472s ]
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | SQL: SELECT `id`,`images`,`title` FROM `think_article` ORDER BY hits desc,time desc LIMIT 5   [ RunTime:0.001488s ]
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | SQL: select * from think_article_type where status=1 order by rand() limit 9 [ RunTime:0.001787s ]
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | INFO: Tag[ view_template ] --START--
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | INFO: Run LocationTemplate Behavior [ RunTime:0.000510s ]
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | INFO: Tag[ view_template ] --END-- [ RunTime:0.000550s ]
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | INFO: Tag[ view_parse ] --START--
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
