[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | INFO: Tag[ route_check ] --START--
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | INFO: Run CheckRoute Behavior [ RunTime:0.000604s ]
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000745s ]
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | INFO: Tag[ app_begin ] --START--
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000421s ]
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000458s ]
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | SQL: SHOW COLUMNS FROM think_article as a [ RunTime:0.001411s ]
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.002331s ]
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | SQL: SELECT * FROM `think_article` WHERE ( `id` = '189' ) LIMIT 1   [ RunTime:0.003056s ]
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | SQL: SHOW COLUMNS FROM `think_article_type` [ RunTime:0.001840s ]
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | SQL: SELECT * FROM `think_article_type` WHERE ( `id` = '24' ) LIMIT 1   [ RunTime:0.001518s ]
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id!=34 and b.id!=19 ORDER BY a.time desc LIMIT 12   [ RunTime:0.004726s ]
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id=19 ORDER BY a.time desc LIMIT 12   [ RunTime:0.003760s ]
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id=34 ORDER BY a.time desc LIMIT 12   [ RunTime:0.004129s ]
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | SQL: select * from think_article_type where status=1 order by rand() limit 9 [ RunTime:0.001648s ]
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | SQL: SELECT `images`,`id`,`title` FROM `think_article` WHERE type=16 LIMIT 8   [ RunTime:0.004305s ]
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | INFO: Tag[ view_template ] --START--
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | INFO: Run LocationTemplate Behavior [ RunTime:0.000525s ]
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000564s ]
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | INFO: Tag[ view_parse ] --START--
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-04T11:39:37+08:00 ] /index.php/article/index/id/189 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
