[ 2017-10-15T00:28:12+08:00 ] /robots.txt | ERR: (ThinkException) 无法加载模块Robots.txt
[ 2017-10-15T00:36:09+08:00 ] /index.php?a=index&cid=22&g=&id=157&m=article | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-10-15T00:36:09+08:00 ] /index.php?a=index&cid=22&g=&id=157&m=article | INFO: Tag[ app_begin ] --START--
[ 2017-10-15T00:36:09+08:00 ] /index.php?a=index&cid=22&g=&id=157&m=article | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000272s ]
[ 2017-10-15T00:36:09+08:00 ] /index.php?a=index&cid=22&g=&id=157&m=article | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000306s ]
[ 2017-10-15T00:36:09+08:00 ] /index.php?a=index&cid=22&g=&id=157&m=article | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-10-15T00:36:09+08:00 ] /index.php?a=index&cid=22&g=&id=157&m=article | SQL: SHOW COLUMNS FROM think_article as a [ RunTime:0.032470s ]
[ 2017-10-15T00:36:09+08:00 ] /index.php?a=index&cid=22&g=&id=157&m=article | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.033046s ]
[ 2017-10-15T00:36:09+08:00 ] /index.php?a=index&cid=22&g=&id=157&m=article | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-15T00:36:09+08:00 ] /index.php?a=index&cid=22&g=&id=157&m=article | SQL: SELECT * FROM `think_article` WHERE ( `id` = '157' ) LIMIT 1   [ RunTime:0.032622s ]
[ 2017-10-15T00:36:09+08:00 ] /index.php?a=index&cid=22&g=&id=157&m=article | SQL: SHOW COLUMNS FROM `think_article_type` [ RunTime:0.032933s ]
[ 2017-10-15T00:36:09+08:00 ] /index.php?a=index&cid=22&g=&id=157&m=article | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-15T00:36:09+08:00 ] /index.php?a=index&cid=22&g=&id=157&m=article | SQL: SELECT * FROM `think_article_type` WHERE ( `id` = '14' ) LIMIT 1   [ RunTime:0.032542s ]
[ 2017-10-15T00:36:09+08:00 ] /index.php?a=index&cid=22&g=&id=157&m=article | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-15T00:36:09+08:00 ] /index.php?a=index&cid=22&g=&id=157&m=article | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id!=34 and b.id!=19 ORDER BY a.time desc LIMIT 12   [ RunTime:0.035680s ]
[ 2017-10-15T00:36:09+08:00 ] /index.php?a=index&cid=22&g=&id=157&m=article | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-15T00:36:09+08:00 ] /index.php?a=index&cid=22&g=&id=157&m=article | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id=19 ORDER BY a.time desc LIMIT 12   [ RunTime:0.034985s ]
