[ 2017-10-26T14:16:33+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块Favicon.ico
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | INFO: Tag[ route_check ] --START--
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | INFO: Run CheckRoute Behavior [ RunTime:0.000381s ]
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000428s ]
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | INFO: Tag[ app_begin ] --START--
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000250s ]
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000274s ]
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | SQL: SHOW COLUMNS FROM think_article as a [ RunTime:0.033623s ]
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.035158s ]
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | SQL: SELECT * FROM `think_article` WHERE ( `id` = '347' ) LIMIT 1   [ RunTime:0.235341s ]
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | SQL: SHOW COLUMNS FROM `think_article_type` [ RunTime:0.035604s ]
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | SQL: SELECT * FROM `think_article_type` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.033774s ]
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id!=34 and b.id!=19 ORDER BY a.time desc LIMIT 12   [ RunTime:0.033646s ]
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id=19 ORDER BY a.time desc LIMIT 12   [ RunTime:0.033644s ]
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id=34 ORDER BY a.time desc LIMIT 12   [ RunTime:0.033677s ]
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | SQL: select * from think_article_type where status=1 order by rand() limit 9 [ RunTime:0.033963s ]
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | SQL: SELECT `images`,`id`,`title` FROM `think_article` WHERE type=16 LIMIT 8   [ RunTime:0.037151s ]
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | INFO: Tag[ view_template ] --START--
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | INFO: Run LocationTemplate Behavior [ RunTime:0.000345s ]
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000373s ]
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | INFO: Tag[ view_parse ] --START--
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T14:16:35+08:00 ] /article/index/id/347 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
