[ 2017-10-28T00:16:49+08:00 ] /article/index/id/142 | INFO: Tag[ route_check ] --START--
[ 2017-10-28T00:16:49+08:00 ] /article/index/id/142 | INFO: Run CheckRoute Behavior [ RunTime:0.000363s ]
[ 2017-10-28T00:16:49+08:00 ] /article/index/id/142 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000411s ]
[ 2017-10-28T00:16:49+08:00 ] /article/index/id/142 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-10-28T00:16:49+08:00 ] /article/index/id/142 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-10-28T00:16:49+08:00 ] /article/index/id/142 | INFO: Tag[ app_begin ] --START--
[ 2017-10-28T00:16:49+08:00 ] /article/index/id/142 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000279s ]
[ 2017-10-28T00:16:49+08:00 ] /article/index/id/142 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000304s ]
[ 2017-10-28T00:16:49+08:00 ] /article/index/id/142 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-10-28T00:16:49+08:00 ] /article/index/id/142 | SQL: SHOW COLUMNS FROM think_article as a [ RunTime:0.033144s ]
[ 2017-10-28T00:16:49+08:00 ] /article/index/id/142 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.033896s ]
[ 2017-10-28T00:16:49+08:00 ] /article/index/id/142 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-28T00:16:49+08:00 ] /article/index/id/142 | SQL: SELECT * FROM `think_article` WHERE ( `id` = '142' ) LIMIT 1   [ RunTime:0.066359s ]
[ 2017-10-28T00:16:49+08:00 ] /article/index/id/142 | SQL: SHOW COLUMNS FROM `think_article_type` [ RunTime:0.033749s ]
[ 2017-10-28T00:16:49+08:00 ] /article/index/id/142 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-28T00:16:49+08:00 ] /article/index/id/142 | SQL: SELECT * FROM `think_article_type` WHERE ( `id` = '22' ) LIMIT 1   [ RunTime:0.033285s ]
[ 2017-10-28T00:16:49+08:00 ] /article/index/id/142 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
